time	current
0.0	2.5
60.0	2.6311350881
120.0	2.7601018409
180.0	2.7013422683
240.0	2.2599898967
300.0	2.1854438337
360.0	2.1226767649
420.0	2.2156543163
480.0	1.9672702186
540.0	2.118393371
600.0	1.9985231467
660.0	2.4138370559
720.0	2.0684738926
780.0	2.2253448707
840.0	2.6754237798
900.0	2.6843503563
960.0	2.3118970613
1020.0	2.2627154234
1080.0	2.2379879701
1140.0	2.4534401041
1200.0	2.1999505079
1260.0	2.3777859134
1320.0	2.197796807
1380.0	1.8783313952
1440.0	1.6284340529
1500.0	1.7855215962
1560.0	1.7446739838
1620.0	1.5721257442
1680.0	1.5594042801
1740.0	1.7210648676
1800.0	1.7235798519
1860.0	1.4984454442
1920.0	1.5266144835
1980.0	1.701569405
2040.0	1.7958721218
2100.0	1.5591269662
2160.0	1.5305130362
2220.0	1.4099002701
2280.0	1.6225509202
2340.0	1.6955453594
2400.0	2.0022321184
2460.0	1.7320857255
2520.0	1.9242810977
2580.0	1.6902931022
2640.0	1.7882339381
2700.0	1.5144866216
2760.0	1.6103103633
2820.0	1.8870320069
2880.0	1.6897171708
2940.0	1.6934780556
3000.0	1.5953905077
3060.0	2.193646326
3120.0	2.2399734578
3180.0	2.0106996314
3240.0	2.3617081625
3300.0	2.0978543624
3360.0	2.3863814522
3420.0	2.0636687731
3480.0	2.104542231
3540.0	1.8109029438
3600.0	1.7509647415
3660.0	1.9753496198
3720.0	1.9216685372
3780.0	1.9881007736
3840.0	2.1080823277
3900.0	2.0924856108
3960.0	2.3520392524
4020.0	2.2480626079
4080.0	2.2226373136
4140.0	2.3997006751
4200.0	2.1115545567
4260.0	2.0307030174
4320.0	2.1213827028
4380.0	2.4002638174
4440.0	2.2962167474
4500.0	2.1966819667
4560.0	2.4361657298
4620.0	2.3091992293
4680.0	2.3432113178
4740.0	1.963076966
4800.0	2.0987455366
4860.0	2.2242208229
4920.0	2.1164070119
4980.0	2.101757978
5040.0	2.1505006555
5100.0	1.9422131403
5160.0	2.1740819846
5220.0	1.9805807401
5280.0	2.0262748984
5340.0	1.7353810744
5400.0	1.8246682578
5460.0	2.036220064
5520.0	1.8231255656
5580.0	2.1622227776
5640.0	1.9807337425
5700.0	2.2370133854
5760.0	2.3331687027
5820.0	2.1960061883
5880.0	2.4563811317
5940.0	2.180219524
6000.0	2.3829652099
6060.0	2.4422527871
6120.0	2.5015888609
6180.0	2.4174713506
6240.0	2.5182064867
6300.0	2.144704718
6360.0	2.5022780339
6420.0	2.3888784751
6480.0	2.6016745098
6540.0	2.331945629
6600.0	2.7746145596
6660.0	2.6442199514
6720.0	2.6948920718
6780.0	2.7909274095
6840.0	2.9372539583
6900.0	2.7512300078
6960.0	3.0224717702
7020.0	2.6564085053
7080.0	2.5568950425
7140.0	2.8112179009
7200.0	2.4859757205
7260.0	2.8487975066
7320.0	2.6625981488
7380.0	3.0543985953
7440.0	2.8695440612
7500.0	3.035886002
7560.0	2.7419640689
7620.0	2.7668586647
7680.0	2.6670818541
7740.0	2.7239358152
7800.0	2.9081027675
7860.0	2.506214951
7920.0	2.8448315137
7980.0	2.6756517276
8040.0	2.6894651189
8100.0	2.6889255855
8160.0	2.9772373879
8220.0	3.036975356
8280.0	3.1940711365
8340.0	2.9297386924
8400.0	3.3820700589
8460.0	3.3377622039
8520.0	3.2182330185
8580.0	3.1233792814
8640.0	3.2105903476
8700.0	3.069076436
8760.0	3.4634463426
8820.0	3.411392829
8880.0	3.2941755913
8940.0	3.5793119312
9000.0	3.3352028017
9060.0	3.4089485342
9120.0	3.0634568104
9180.0	3.0930178052
9240.0	3.0824268264
9300.0	3.1226784646
9360.0	2.9285399725
9420.0	2.6886136486
9480.0	3.004553483
9540.0	2.9762227824
9600.0	3.0604444388
9660.0	3.5025097846
9720.0	3.3535036828
9780.0	3.0911703877
9840.0	3.024057932
9900.0	2.9289137199
9960.0	2.8967908519
10020.0	2.7719475276
10080.0	2.8486013913
10140.0	2.8482654779
10200.0	2.9362335286
10260.0	2.8665015573
10320.0	3.149717756
10380.0	2.5014699038
10440.0	2.8814528496
10500.0	2.5690033747
10560.0	2.4462233516
10620.0	2.343312732
10680.0	2.4171259479
10740.0	2.2718955966
10800.0	1.9829609544
10860.0	2.4047451375
10920.0	2.1399371737
10980.0	2.6073701926
11040.0	2.4506684013
11100.0	2.4374946221
11160.0	2.2688357782
11220.0	2.5540225605
11280.0	2.5607660632
11340.0	2.6252459819
11400.0	2.7288867915
11460.0	2.5754827309
11520.0	2.8583056176
11580.0	2.3472090555
11640.0	2.7043028778
11700.0	2.4991370144
11760.0	2.5087275748
11820.0	2.5828241415
11880.0	2.6132273175
11940.0	2.6482925294
12000.0	3.2129359202
12060.0	2.9214368212
12120.0	2.8727210139
12180.0	3.1031837955
12240.0	3.1532679331
12300.0	2.8949369298
12360.0	2.9273262393
12420.0	3.2200529851
12480.0	3.1162948308
12540.0	3.271459399
12600.0	3.1692824942
12660.0	3.0621170801
12720.0	2.9391984875
12780.0	2.848530443
12840.0	3.2229171499
12900.0	3.0433206093
12960.0	2.9583134246
13020.0	3.0854368909
13080.0	3.2191455361
13140.0	3.3692384367
13200.0	3.1354007112
13260.0	2.9183427759
13320.0	3.2059591346
13380.0	3.2623778794
13440.0	3.5556168799
13500.0	3.4444226457
13560.0	3.3803244859
13620.0	3.3746268326
13680.0	3.2639505154
13740.0	3.4481251107
13800.0	3.6496396581
13860.0	3.8381654313
13920.0	3.9050285258
13980.0	3.7326957103
14040.0	3.7278949208
14100.0	4.0201935514
14160.0	4.0430231396
14220.0	4.0327844092
14280.0	3.8247552819
14340.0	3.4942867658
14400.0	4.1023384041
14460.0	4.1778593503
14520.0	4.3019605387
14580.0	4.5391508529
14640.0	4.0002383836
14700.0	3.9688306193
14760.0	3.9553419432
14820.0	3.9884425487
14880.0	3.9905749359
14940.0	4.1700734156
15000.0	4.1162167498
15060.0	4.2820303907
15120.0	4.2906196518
15180.0	4.5095169422
15240.0	4.2541345477
15300.0	4.4438532414
15360.0	4.8134898593
15420.0	4.8270988918
15480.0	4.6453361744
15540.0	4.6312345936
15600.0	4.5432438445
15660.0	4.8114034754
15720.0	4.7589474531
15780.0	4.5272934441
15840.0	4.3937413881
15900.0	4.1444029728
15960.0	4.5474451126
16020.0	4.5913294667
16080.0	4.6171170391
16140.0	4.4596460488
16200.0	4.347158796
16260.0	4.4123089544
16320.0	4.3578888072
16380.0	4.3623632778
16440.0	4.4778996685
16500.0	4.5868476827
16560.0	4.2076569237
16620.0	4.3914092197
16680.0	4.3476037584
16740.0	4.530961256
16800.0	4.2349513191
16860.0	4.0130049634
16920.0	4.0486273465
16980.0	4.034228923
17040.0	4.2650478005
17100.0	3.9091643086
17160.0	3.9880400817
17220.0	3.7633002967
17280.0	3.6949028093
17340.0	3.8700338373
17400.0	4.0141311032
17460.0	3.4796222903
17520.0	3.9635774591
17580.0	3.7881768532
17640.0	3.8323495638
17700.0	3.9887685308
17760.0	3.8031818768
17820.0	4.0798282212
17880.0	3.8945973405
17940.0	3.7448919579
18000.0	4.1232397749
18060.0	3.9817481435
18120.0	4.0071078251
18180.0	3.8867378997
18240.0	4.1265997079
18300.0	4.1712922552
18360.0	4.0922770286
18420.0	3.9571965411
18480.0	3.9084295032
18540.0	4.4389614088
18600.0	4.7035180966
18660.0	4.3585139485
18720.0	4.2567077949
18780.0	4.5333924359
18840.0	4.3636884944
